DATE,GROSS_LEV_AVG_EU_RA,NET_LEV_AVG_EU_RA,GROSS_LEV_MEDIAN_US_RA,NET_LEV_MEDIAN_US_RA,GROSS_LEV_MEDIAN_ASIA_RA,NET_LEV_MEDIAN_ASIA_RA
"4/7/10","1.7700","0.2900","1.5363","0.5703","1.2000","0.5600"
"4/8/10","1.7600","0.3000","1.5370","0.5769","1.2100","0.5600"
"4/9/10","1.7500","0.3000","1.5348","0.5847","1.2200","0.5700"
"4/12/10","1.7500","0.3000","1.5392","0.5893","1.2300","0.5700"
"4/13/10","1.7400","0.3000","1.5357","0.5923","1.2300","0.5700"
"4/14/10","1.7400","0.3000","1.5378","0.5999","1.2300","0.5700"
"4/15/10","1.7500","0.3000","1.5400","0.6053","1.2300","0.5800"
"4/16/10","1.7500","0.3000","1.5454","0.6001","1.2300","0.5900"
"4/19/10","1.7500","0.3000","1.5424","0.5894","1.2200","0.5800"
"4/20/10","1.7500","0.3000","1.5458","0.5831","1.2200","0.5700"
"4/21/10","1.7600","0.3000","1.5436","0.5762","1.2100","0.5600"
"4/22/10","1.7500","0.2900","1.5420","0.5665","1.2000","0.5400"
"4/23/10","1.7400","0.2900","1.5409","0.5739","1.1800","0.5300"
"4/26/10","1.7300","0.3000","1.5433","0.5760","1.1800","0.5300"
"4/27/10","1.7200","0.2900","1.5380","0.5758","1.1800","0.5300"
"4/28/10","1.7000","0.2900","1.5280","0.5730","1.1700","0.5200"
"4/29/10","1.7000","0.3000","1.5169","0.5739","1.1700","0.5200"
"4/30/10","1.7000","0.3000","1.5112","0.5642","1.1800","0.5300"
"5/3/10","1.7000","0.3000","1.5063","0.5645","1.1800","0.5300"
"5/4/10","1.6900","0.3200","1.5000","0.5593","1.1700","0.5200"
"5/5/10","1.6700","0.3300","1.4958","0.5553","1.1600","0.5000"
"5/6/10","1.6500","0.3300","1.4909","0.5474","1.1500","0.4700"
"5/7/10","1.6100","0.3300","1.4710","0.5478","1.1300","0.4400"
"5/10/10","1.5900","0.3500","1.4502","0.5541","1.1100","0.4300"
"5/11/10","1.5800","0.3600","1.4352","0.5609","1.1000","0.4100"
"5/12/10","1.5800","0.3900","1.4269","0.5667","1.0900","0.4100"
"5/13/10","1.5900","0.4300","1.4272","0.5714","1.0900","0.4200"
"5/14/10","1.6100","0.4300","1.4338","0.5678","1.1000","0.4400"
"5/17/10","1.6500","0.4200","1.4324","0.5594","1.1000","0.4300"
"5/18/10","1.6700","0.4100","1.4432","0.5517","1.1000","0.4200"
"5/19/10","1.6800","0.3800","1.4394","0.5464","1.0900","0.4100"
"5/20/10","1.6700","0.3400","1.4248","0.5431","1.0800","0.3900"
"5/21/10","1.6500","0.3300","1.4088","0.5464","1.0600","0.3700"
"5/24/10","1.5800","0.3200","1.4026","0.5459","1.0400","0.3700"
"5/25/10","1.5200","0.3100","1.3817","0.5484","1.0300","0.3500"
"5/26/10","1.4800","0.3000","1.3762","0.5430","1.0200","0.3400"
"5/27/10","1.4600","0.3200","1.3813","0.5458","1.0200","0.3400"
"5/28/10","1.4700","0.3300","1.3869","0.5433","1.0200","0.3400"
"5/31/10","1.5400","0.3300","1.3910","0.5426","1.0300","0.3400"
"6/1/10","1.5600","0.3400","1.3944","0.5404","1.0300","0.3500"
"6/2/10","1.5700","0.3600","1.3951","0.5443","1.0400","0.3500"
"6/3/10","1.5900","0.3600","1.3878","0.5452","1.0300","0.3500"
"6/4/10","1.5600","0.3600","1.3850","0.5368","1.0300","0.3500"
"6/7/10","1.5300","0.3700","1.3780","0.5251","1.0300","0.3400"
"6/8/10","1.5200","0.3500","1.3742","0.5182","1.0300","0.3300"
"6/9/10","1.5100","0.3400","1.3640","0.5155","1.0300","0.3300"
"6/10/10","1.5200","0.3400","1.3633","0.5142","1.0400","0.3200"
"6/11/10","1.5500","0.3500","1.3665","0.5245","1.0400","0.3200"
"6/14/10","1.5600","0.3500","1.3732","0.5369","1.0500","0.3300"
"6/15/10","1.5800","0.3700","1.3836","0.5485","1.0500","0.3400"
"6/16/10","1.6000","0.3700","1.3977","0.5506","1.0500","0.3600"
"6/17/10","1.5900","0.3600","1.4050","0.5484","1.0600","0.3700"
"6/18/10","1.5800","0.3500","1.4055","0.5426","1.0600","0.3800"
"6/21/10","1.5700","0.3400","1.4067","0.5346","1.0600","0.3900"
"6/22/10","1.5800","0.3300","1.4003","0.5232","1.0700","0.4000"
"6/23/10","1.5800","0.3300","1.3911","0.5152","1.0700","0.3900"
"6/24/10","1.5700","0.3300","1.3830","0.5081","1.0700","0.3900"
"6/25/10","1.5600","0.3300","1.3797","0.5072","1.0700","0.3800"
"6/28/10","1.5500","0.3300","1.3778","0.5106","1.0700","0.3700"
"6/29/10","1.5600","0.3200","1.3794","0.5099","1.0700","0.3500"
"6/30/10","1.5600","0.3000","1.3892","0.5016","1.0700","0.3300"
"7/1/10","1.5500","0.3000","1.3939","0.4974","1.0600","0.3100"
"7/2/10","1.5600","0.2900","1.3978","0.4853","1.0600","0.2900"
"7/5/10","1.5400","0.2900","1.4003","0.4723","1.0500","0.2700"
"7/6/10","1.5300","0.2900","1.4036","0.4640","1.0400","0.2600"
"7/7/10","1.5300","0.3000","1.3999","0.4732","1.0400","0.2500"
"7/8/10","1.5300","0.3000","1.3958","0.4717","1.0400","0.2500"
"7/9/10","1.5200","0.3200","1.3911","0.4811","1.0500","0.2600"
"7/12/10","1.5300","0.3200","1.3856","0.4898","1.0600","0.2700"
"7/13/10","1.5400","0.3200","1.3840","0.5013","1.0700","0.2900"
"7/14/10","1.5300","0.3200","1.3855","0.5032","1.0800","0.3100"
"7/15/10","1.5200","0.3200","1.3901","0.5064","1.0900","0.3200"
"7/16/10","1.5300","0.3100","1.3916","0.4995","1.0900","0.3200"
"7/19/10","1.5400","0.2900","1.3954","0.4909","1.0900","0.3200"
"7/20/10","1.5400","0.2800","1.3964","0.4822","1.1000","0.3200"
"7/21/10","1.5400","0.2700","1.3975","0.4713","1.0900","0.3200"
"7/22/10","1.5600","0.2600","1.4001","0.4686","1.1000","0.3300"
"7/23/10","1.5600","0.2600","1.4070","0.4747","1.1000","0.3400"
"7/26/10","1.5600","0.2700","1.4084","0.4827","1.1000","0.3700"
"7/27/10","1.5700","0.2700","1.4073","0.4868","1.1000","0.3900"
"7/28/10","1.5700","0.2800","1.4033","0.4941","1.1000","0.4000"
"7/29/10","1.5600","0.2800","1.3966","0.4942","1.0900","0.4200"
"7/30/10","1.5500","0.2700","1.3862","0.4901","1.0900","0.4200"
"8/2/10","1.5600","0.2600","1.3813","0.4890","1.0900","0.4200"
"8/3/10","1.5600","0.2600","1.3737","0.4882","1.0800","0.4200"
"8/4/10","1.5500","0.2600","1.3695","0.4865","1.0800","0.4200"
"8/5/10","1.5500","0.2700","1.3667","0.4856","1.0900","0.4200"
"8/6/10","1.5400","0.2800","1.3674","0.4814","1.0900","0.4300"
"8/9/10","1.5300","0.3000","1.3691","0.4761","1.1000","0.4300"
"8/10/10","1.5200","0.3100","1.3770","0.4682","1.1100","0.4300"
"8/11/10","1.5100","0.3000","1.3839","0.4590","1.1200","0.4200"
"8/12/10","1.5000","0.2900","1.3917","0.4548","1.1100","0.4000"
"8/13/10","1.5100","0.2800","1.3897","0.4551","1.1100","0.3900"
"8/16/10","1.5100","0.2800","1.3853","0.4550","1.1000","0.3600"
"8/17/10","1.5100","0.2800","1.3871","0.4585","1.1000","0.3600"
"8/18/10","1.5100","0.2900","1.3898","0.4646","1.0900","0.3600"
"8/19/10","1.5100","0.3000","1.3884","0.4681","1.1000","0.3700"
"8/20/10","1.5200","0.3100","1.3954","0.4648","1.1100","0.3900"
"8/23/10","1.5100","0.3100","1.4010","0.4590","1.1200","0.4200"
"8/24/10","1.5200","0.3100","1.3942","0.4473","1.1300","0.4200"
"8/25/10","1.5200","0.3000","1.3878","0.4311","1.1300","0.4100"
"8/26/10","1.5300","0.2800","1.3882","0.4149","1.1300","0.3900"
"8/27/10","1.5300","0.2900","1.3845","0.4147","1.1200","0.3700"
"8/30/10","1.5300","0.2900","1.3840","0.4108","1.1100","0.3500"
"8/31/10","1.5300","0.2900","1.3855","0.4126","1.1000","0.3300"
"9/1/10","1.5300","0.3100","1.3863","0.4211","1.1100","0.3300"
"9/2/10","1.5200","0.3300","1.3871","0.4383","1.1100","0.3300"
"9/3/10","1.5100","0.3400","1.3928","0.4480","1.1200","0.3500"
"9/6/10","1.5000","0.3600","1.3972","0.4626","1.1300","0.3700"
"9/7/10","1.4800","0.3900","1.4044","0.4759","1.1500","0.4000"
"9/8/10","1.4700","0.3900","1.4073","0.4810","1.1500","0.4200"
"9/9/10","1.4600","0.4000","1.4141","0.4819","1.1400","0.4300"
"9/10/10","1.4500","0.3900","1.4136","0.4815","1.1300","0.4400"
"9/13/10","1.4500","0.3900","1.4150","0.4780","1.1300","0.4500"
"9/14/10","1.4600","0.3700","1.4237","0.4793","1.1300","0.4600"
"9/15/10","1.4700","0.3700","1.4303","0.4833","1.1200","0.4700"
"9/16/10","1.4800","0.3700","1.4287","0.4767","1.1300","0.4800"
"9/17/10","1.5000","0.3700","1.4308","0.4691","1.1400","0.4900"
"9/20/10","1.5100","0.3700","1.4270","0.4666","1.1400","0.5000"
"9/21/10","1.5200","0.3700","1.4156","0.4681","1.1400","0.5000"
"9/22/10","1.5300","0.3700","1.4101","0.4637","1.1400","0.5000"
"9/23/10","1.5300","0.3500","1.4080","0.4656","1.1400","0.5100"
"9/24/10","1.5400","0.3400","1.4077","0.4763","1.1400","0.5100"
"9/27/10","1.5500","0.3400","1.4099","0.4794","1.1400","0.5100"
"9/28/10","1.5500","0.3400","1.4150","0.4816","1.1400","0.5100"
"9/29/10","1.5600","0.3500","1.4211","0.4928","1.1400","0.5200"
"9/30/10","1.5600","0.3600","1.4287","0.5025","1.1500","0.5200"
"10/1/10","1.5700","0.3700","1.4272","0.5044","1.1500","0.5200"
"10/4/10","1.5600","0.3600","1.4302","0.4977","1.1500","0.5200"
"10/5/10","1.5600","0.3600","1.4289","0.4999","1.1600","0.5300"
"10/6/10","1.5600","0.3600","1.4242","0.5046","1.1800","0.5400"
"10/7/10","1.5700","0.3700","1.4180","0.5011","1.1900","0.5500"
"10/8/10","1.5600","0.3900","1.4182","0.5046","1.2100","0.5600"
"10/11/10","1.5700","0.4000","1.4161","0.5227","1.2200","0.5800"
"10/12/10","1.5800","0.4100","1.4118","0.5204","1.2200","0.5800"
"10/13/10","1.5900","0.4000","1.4123","0.5196","1.2100","0.5800"
"10/14/10","1.6000","0.4000","1.4151","0.5283","1.2100","0.5800"
"10/15/10","1.6100","0.3900","1.4196","0.5276","1.2100","0.5900"
"10/18/10","1.6200","0.4000","1.4240","0.5259","1.2100","0.5900"
"10/19/10","1.6400","0.4000","1.4297","0.5295","1.2100","0.6000"
"10/20/10","1.6400","0.4100","1.4299","0.5294","1.2200","0.6100"
"10/21/10","1.6600","0.4100","1.4308","0.5286","1.2100","0.6100"
"10/22/10","1.6600","0.4200","1.4299","0.5313","1.2000","0.6100"
"10/25/10","1.6700","0.4200","1.4285","0.5363","1.2100","0.6100"
"10/26/10","1.6600","0.4200","1.4343","0.5413","1.2100","0.6100"
"10/27/10","1.6500","0.4100","1.4432","0.5423","1.2100","0.6000"
"10/28/10","1.6400","0.4000","1.4529","0.5422","1.2200","0.5900"
"10/29/10","1.6300","0.3900","1.4580","0.5373","1.2300","0.5900"
"11/1/10","1.6200","0.3900","1.4621","0.5303","1.2300","0.5800"
"11/2/10","1.6300","0.3800","1.4571","0.5247","1.2300","0.5800"
"11/3/10","1.6300","0.3700","1.4559","0.5252","1.2300","0.5800"
"11/4/10","1.6400","0.3700","1.4463","0.5339","1.2200","0.5900"
"11/5/10","1.6500","0.3600","1.4435","0.5496","1.2100","0.6100"
"11/8/10","1.6600","0.3600","1.4452","0.5636","1.2000","0.6200"
"11/9/10","1.6600","0.3600","1.4461","0.5721","1.2000","0.6400"
"11/10/10","1.6700","0.3600","1.4436","0.5757","1.2000","0.6500"
"11/11/10","1.6500","0.3600","1.4416","0.5719","1.2000","0.6500"
"11/12/10","1.6500","0.3600","1.4377","0.5576","1.2000","0.6500"
"11/15/10","1.6500","0.3600","1.4402","0.5387","1.1900","0.6300"
"11/16/10","1.6500","0.3500","1.4447","0.5280","1.1900","0.6200"
"11/17/10","1.6400","0.3500","1.4481","0.5204","1.1800","0.6000"
"11/18/10","1.6400","0.3600","1.4570","0.5145","1.1700","0.6000"
"11/19/10","1.6500","0.3700","1.4670","0.5160","1.1600","0.6000"
"11/22/10","1.6600","0.3900","1.4660","0.5257","1.1600","0.6100"
"11/23/10","1.6700","0.4100","1.4668","0.5328","1.1600","0.6100"
"11/24/10","1.6800","0.4100","1.4664","0.5451","1.1500","0.6100"
"11/25/10","1.6900","0.4200","1.4622","0.5569","1.1600","0.6100"
"11/26/10","1.6900","0.4200","1.4602","0.5640","1.1600","0.6000"
"11/29/10","1.6800","0.4100","1.4571","0.5632","1.1600","0.5900"
"11/30/10","1.6700","0.4100","1.4497","0.5623","1.1500","0.5900"
"12/1/10","1.6500","0.4200","1.4467","0.5582","1.1500","0.6100"
"12/2/10","1.6600","0.4300","1.4467","0.5573","1.1400","0.6100"
"12/3/10","1.6800","0.4400","1.4478","0.5631","1.1400","0.6300"
"12/6/10","1.6900","0.4400","1.4523","0.5745","1.1500","0.6400"
"12/7/10","1.7100","0.4500","1.4638","0.5874","1.1600","0.6500"
"12/8/10","1.7300","0.4500","1.4715","0.5933","1.1700","0.6600"
"12/9/10","1.7200","0.4400","1.4742","0.5981","1.1800","0.6500"
"12/10/10","1.7200","0.4400","1.4776","0.5959","1.1800","0.6500"
"12/13/10","1.7200","0.4400","1.4791","0.5959","1.1800","0.6300"
"12/14/10","1.7100","0.4500","1.4799","0.5941","1.1700","0.6300"
"12/15/10","1.7100","0.4600","1.4784","0.5913","1.1800","0.6300"
"12/16/10","1.7100","0.4600","1.4780","0.5921","1.1800","0.6300"
"12/17/10","1.7000","0.4700","1.4775","0.5975","1.1800","0.6200"
"12/20/10","1.6900","0.4700","1.4749","0.6000","1.1900","0.6200"
"12/21/10","1.6800","0.4600","1.4677","0.6051","1.1900","0.6100"
"12/22/10","1.6800","0.4600","1.4602","0.6130","1.2000","0.6200"
"12/23/10","1.6800","0.4500","1.4533","0.6139","1.2000","0.6300"
"12/24/10","1.6900","0.4500","1.4434","0.6122","1.2100","0.6300"
"12/27/10","1.7000","0.4500","1.4435","0.6135","1.2100","0.6400"
"12/28/10","1.7000","0.4500","1.4469","0.6119","1.2100","0.6400"
"12/29/10","1.7100","0.4500","1.4536","0.6130","1.2200","0.6300"
"12/30/10","1.7200","0.4400","1.4596","0.6173","1.2200","0.6200"
"12/31/10","1.7300","0.4400","1.4682","0.6216","1.2300","0.6200"
"1/3/11","1.6800","0.4200","1.4800","0.6288","1.2300","0.6100"
"1/4/11","1.6700","0.4200","1.4829","0.6353","1.2300","0.6100"
"1/5/11","1.6700","0.4200","1.4838","0.6361","1.2300","0.6100"
"1/6/11","1.6700","0.4200","1.4887","0.6383","1.2300","0.6100"
"1/7/11","1.6600","0.4200","1.4917","0.6409","1.2400","0.6100"
"1/10/11","1.6500","0.4100","1.4816","0.6373","1.2400","0.6100"
"1/11/11","1.6400","0.4100","1.4870","0.6387","1.2400","0.6100"
"1/12/11","1.6400","0.4200","1.4954","0.6469","1.2400","0.6100"
"1/13/11","1.6500","0.4300","1.5036","0.6517","1.2400","0.6000"
"1/14/11","1.6800","0.4500","1.5144","0.6552","1.2400","0.6000"
"1/17/11","1.7000","0.4700","1.5280","0.6607","1.2400","0.6000"
"1/18/11","1.7300","0.4800","1.5334","0.6685","1.2500","0.5900"
"1/19/11","1.7500","0.4900","1.5396","0.6648","1.2500","0.5800"
"1/20/11","1.7600","0.4900","1.5430","0.6597","1.2500","0.5700"
"1/21/11","1.7800","0.4900","1.5463","0.6551","1.2500","0.5600"
"1/24/11","1.7800","0.4800","1.5461","0.6480","1.2400","0.5400"
"1/25/11","1.7800","0.4700","1.5461","0.6363","1.2300","0.5400"
"1/26/11","1.7800","0.4700","1.5407","0.6346","1.2300","0.5400"
"1/27/11","1.7700","0.4700","1.5374","0.6346","1.2200","0.5400"
"1/28/11","1.7500","0.4700","1.5356","0.6296","1.2200","0.5400"
"1/31/11","1.7600","0.4800","1.5373","0.6261","1.2300","0.5300"
"2/1/11","1.7600","0.4900","1.5392","0.6255","1.2200","0.5300"
"2/2/11","1.7700","0.4900","1.5415","0.6200","1.2200","0.5300"
"2/3/11","1.7700","0.5000","1.5432","0.6172","1.2300","0.5300"
"2/4/11","1.7600","0.5000","1.5417","0.6205","1.2300","0.5400"
"2/7/11","1.7500","0.5100","1.5376","0.6249","1.2200","0.5400"
"2/8/11","1.7400","0.5100","1.5345","0.6273","1.2200","0.5500"
"2/9/11","1.7300","0.5100","1.5333","0.6331","1.2200","0.5500"
"2/10/11","1.7200","0.5100","1.5356","0.6297","1.2100","0.5400"
"2/11/11","1.7200","0.5100","1.5381","0.6233","1.2100","0.5300"
"2/14/11","1.7200","0.5000","1.5443","0.6160","1.2000","0.5400"
"2/15/11","1.7200","0.4900","1.5517","0.6071","1.2100","0.5400"
"2/16/11","1.7200","0.4900","1.5562","0.6016","1.2100","0.5500"
"2/17/11","1.7300","0.4900","1.5555","0.6023","1.2100","0.5600"
"2/18/11","1.7300","0.4900","1.5584","0.6071","1.2200","0.5800"
"2/21/11","1.7400","0.4900","1.5603","0.6129","1.2200","0.5700"
"2/22/11","1.7400","0.4900","1.5556","0.6052","1.2200","0.5700"
"2/23/11","1.7600","0.4900","1.5518","0.6007","1.2300","0.5600"
"2/24/11","1.7600","0.4900","1.5421","0.5942","1.2200","0.5400"
"2/25/11","1.7700","0.4900","1.5320","0.5846","1.2100","0.5200"
"2/28/11","1.7700","0.4900","1.5247","0.5750","1.2100","0.5100"
"3/1/11","1.7600","0.4800","1.5226","0.5764","1.2000","0.5100"
"3/2/11","1.7500","0.4700","1.5249","0.5719","1.1900","0.5200"
"3/3/11","1.7400","0.4600","1.5362","0.5721","1.2000","0.5300"
"3/4/11","1.7300","0.4400","1.5425","0.5756","1.2000","0.5500"
"3/7/11","1.7300","0.4400","1.5465","0.5751","1.2000","0.5600"
"3/8/11","1.7500","0.4400","1.5514","0.5801","1.2100","0.5700"
"3/9/11","1.7600","0.4400","1.5461","0.5848","1.2100","0.5700"
"3/10/11","1.7800","0.4400","1.5421","0.5808","1.2100","0.5700"
"3/11/11","1.7900","0.4400","1.5379","0.5830","1.2100","0.5600"
"3/14/11","1.8000","0.4400","1.5293","0.5931","1.2100","0.5500"
"3/15/11","1.7800","0.4400","1.5199","0.6010","1.2100","0.5400"
"3/16/11","1.7600","0.4400","1.5256","0.6074","1.2100","0.5300"
"3/17/11","1.7200","0.4400","1.5178","0.6238","1.2100","0.5300"
"3/18/11","1.6900","0.4500","1.5184","0.6312","1.2100","0.5300"
"3/21/11","1.6700","0.4600","1.5234","0.6357","1.2100","0.5400"
"3/22/11","1.6600","0.4700","1.5272","0.6459","1.2000","0.5600"
"3/23/11","1.6600","0.4800","1.5312","0.6502","1.2000","0.5800"
"3/24/11","1.6700","0.4800","1.5441","0.6530","1.2000","0.5900"
"3/25/11","1.6800","0.4800","1.5521","0.6558","1.2000","0.6000"
"3/28/11","1.6900","0.4700","1.5599","0.6573","1.2100","0.6000"
"3/29/11","1.7100","0.4600","1.5687","0.6518","1.2200","0.6100"
"3/30/11","1.7200","0.4500","1.5699","0.6518","1.2200","0.6100"
"3/31/11","1.7200","0.4400","1.5670","0.6469","1.2200","0.6100"
"4/1/11","1.7200","0.4300","1.5612","0.6422","1.2100","0.6200"
"4/4/11","1.7300","0.4200","1.5580","0.6348","1.2100","0.6200"
"4/5/11","1.7300","0.4100","1.5547","0.6283","1.2000","0.6200"
"4/6/11","1.7300","0.4100","1.5549","0.6211","1.2000","0.6300"
"4/7/11","1.7400","0.4000","1.5593","0.6138","1.2100","0.6200"
"4/8/11","1.7500","0.4000","1.5617","0.6067","1.2200","0.6200"
"4/11/11","1.7500","0.3900","1.5598","0.5963","1.2300","0.6000"
"4/12/11","1.7600","0.3900","1.5542","0.5809","1.2400","0.5800"
"4/13/11","1.7700","0.3800","1.5482","0.5719","1.2400","0.5700"
"4/14/11","1.7700","0.3800","1.5417","0.5686","1.2400","0.5700"
"4/15/11","1.7800","0.3700","1.5333","0.5633","1.2400","0.5600"
"4/18/11","1.8000","0.3600","1.5231","0.5683","1.2500","0.5600"
"4/19/11","1.8100","0.3600","1.5175","0.5785","1.2500","0.5500"
"4/20/11","1.8600","0.3600","1.5099","0.5848","1.2400","0.5500"
"4/21/11","1.8800","0.3700","1.4996","0.5912","1.2400","0.5500"
"4/22/11","1.9000","0.3800","1.4931","0.6002","1.2400","0.5600"
"4/25/11","1.9100","0.3900","1.4984","0.5996","1.2400","0.5600"
"4/26/11","1.9200","0.4000","1.5030","0.6004","1.2300","0.5700"
"4/27/11","1.9000","0.4100","1.5066","0.6045","1.2400","0.5600"
"4/28/11","1.9000","0.4100","1.5199","0.6046","1.2400","0.5600"
"4/29/11","1.9100","0.4200","1.5339","0.6043","1.2400","0.5500"
"5/2/11","1.9200","0.4200","1.5383","0.6072","1.2400","0.5500"
"5/3/11","1.9200","0.4200","1.5444","0.6044","1.2400","0.5500"
"5/4/11","1.9100","0.4000","1.5435","0.5969","1.2400","0.5400"
"5/5/11","1.9000","0.3800","1.5397","0.5902","1.2400","0.5300"
"5/6/11","1.8800","0.3700","1.5331","0.5918","1.2300","0.5200"
"5/9/11","1.8700","0.3600","1.5277","0.5928","1.2300","0.5200"
"5/10/11","1.8600","0.3600","1.5214","0.5934","1.2300","0.5100"
"5/11/11","1.8600","0.3600","1.5191","0.5943","1.2200","0.5100"
"5/12/11","1.8600","0.3600","1.5082","0.5954","1.2100","0.5100"
"5/13/11","1.8600","0.3600","1.4977","0.5858","1.2100","0.5100"
"5/16/11","1.8600","0.3600","1.4862","0.5760","1.2100","0.5100"
"5/17/11","1.8600","0.3500","1.4784","0.5719","1.2000","0.5000"
"5/18/11","1.8600","0.3500","1.4785","0.5711","1.2100","0.5000"
"5/19/11","1.8600","0.3500","1.4882","0.5707","1.2100","0.5000"
"5/20/11","1.8500","0.3600","1.4954","0.5732","1.2100","0.5000"
"5/23/11","1.8300","0.3600","1.5049","0.5779","1.2100","0.4900"
